"34","AIX (ppc)"
"1505","AIX (ppc64)"
"1","DragonFlyBSD (amd64)"
"14","FreeBSD (aarch64)"
"552","FreeBSD (amd64)"
"22","FreeBSD (i386)"
"159","HP-UX (IA64N)"
"31","HP-UX (IA64W)"
"7","HP-UX (PA_RISC2.0)"
"1","HP-UX (PA_RISC2.0W)"
"14202","Linux (aarch64)"
"601672","Linux (amd64)"
"1290","Linux (arm)"
"4","Linux (e2k)"
"2772","Linux (i386)"
"102","Linux (loongarch64)"
"37","Linux (mips64el)"
"10","Linux (ppc)"
"21","Linux (ppc64)"
"451","Linux (ppc64le)"
"73","Linux (riscv64)"
"1","Linux (s390)"
"306","Linux (s390x)"
"21","Linux (sw64)"
"16","Linux (x86)"
"12747","Mac OS X (aarch64)"
"16348","Mac OS X (x86_64)"
"367148","N/A"
"3","NONSTOP_KERNEL (IA64N)"
"3","NONSTOP_KERNEL (amd64)"
"7","NONSTOP_KERNEL (x86_64N)"
"2","NetBSD (amd64)"
"1","NetBSD (i386)"
"1","OS/400 (ppc)"
"98","OS/400 (ppc64)"
"7","OS400 (ppc64)"
"2","OpenBSD (aarch64)"
"32","OpenBSD (amd64)"
"1","QNX (amd64)"
"250","SunOS (amd64)"
"28","SunOS (sparc)"
"649","SunOS (sparcv9)"
"45","SunOS (x86)"
"67496","Windows 10 (amd64)"
"3954","Windows 10 (x86)"
"24","Windows 11 (aarch64)"
"19583","Windows 11 (amd64)"
"263","Windows 11 (x86)"
"5","Windows 2003 (amd64)"
"72","Windows 2003 (x86)"
"2246","Windows 7 (amd64)"
"813","Windows 7 (x86)"
"39","Windows 8 (amd64)"
"34","Windows 8 (x86)"
"308","Windows 8.1 (amd64)"
"173","Windows 8.1 (x86)"
"979","Windows NT (unknown) (amd64)"
"403","Windows NT (unknown) (x86)"
"61","Windows Server 2008 (amd64)"
"48","Windows Server 2008 (x86)"
"1649","Windows Server 2008 R2 (amd64)"
"451","Windows Server 2008 R2 (x86)"
"497","Windows Server 2012 (amd64)"
"148","Windows Server 2012 (x86)"
"7102","Windows Server 2012 R2 (amd64)"
"1285","Windows Server 2012 R2 (x86)"
"30201","Windows Server 2016 (amd64)"
"2730","Windows Server 2016 (x86)"
"4","Windows Server 2016 Standard (amd64)"
"33847","Windows Server 2019 (amd64)"
"1418","Windows Server 2019 (x86)"
"16345","Windows Server 2022 (amd64)"
"227","Windows Server 2022 (x86)"
"17","Windows Server version 2009 (amd64)"
"26","Windows Vista (x86)"
"1","Windows XP (amd64)"
"80","Windows XP (x86)"
"248","z/OS (s390x)"
