"35","AIX (ppc)"
"1574","AIX (ppc64)"
"1","DragonFlyBSD (amd64)"
"5","FreeBSD (aarch64)"
"598","FreeBSD (amd64)"
"11","FreeBSD (i386)"
"167","HP-UX (IA64N)"
"32","HP-UX (IA64W)"
"7","HP-UX (PA_RISC2.0)"
"1","HP-UX (PA_RISC2.0W)"
"4","HP-UX (ia64)"
"14397","Linux (aarch64)"
"618919","Linux (amd64)"
"1405","Linux (arm)"
"6","Linux (e2k)"
"2967","Linux (i386)"
"96","Linux (loongarch64)"
"38","Linux (mips64el)"
"11","Linux (ppc)"
"43","Linux (ppc64)"
"565","Linux (ppc64le)"
"47","Linux (riscv64)"
"1","Linux (s390)"
"292","Linux (s390x)"
"38","Linux (sw64)"
"23","Linux (x86)"
"11530","Mac OS X (aarch64)"
"17983","Mac OS X (x86_64)"
"363506","N/A"
"4","NONSTOP_KERNEL (IA64N)"
"2","NONSTOP_KERNEL (amd64)"
"6","NONSTOP_KERNEL (x86_64N)"
"2","NetBSD (amd64)"
"1","NetBSD (i386)"
"1","OS/400 (ppc)"
"87","OS/400 (ppc64)"
"10","OS400 (ppc64)"
"1","OpenBSD (aarch64)"
"28","OpenBSD (amd64)"
"1","QNX (amd64)"
"292","SunOS (amd64)"
"36","SunOS (sparc)"
"693","SunOS (sparcv9)"
"49","SunOS (x86)"
"68644","Windows 10 (amd64)"
"5076","Windows 10 (x86)"
"20","Windows 11 (aarch64)"
"15230","Windows 11 (amd64)"
"428","Windows 11 (x86)"
"9","Windows 2003 (amd64)"
"81","Windows 2003 (x86)"
"2553","Windows 7 (amd64)"
"1151","Windows 7 (x86)"
"56","Windows 8 (amd64)"
"38","Windows 8 (x86)"
"306","Windows 8.1 (amd64)"
"186","Windows 8.1 (x86)"
"1096","Windows NT (unknown) (amd64)"
"431","Windows NT (unknown) (x86)"
"64","Windows Server 2008 (amd64)"
"53","Windows Server 2008 (x86)"
"1866","Windows Server 2008 R2 (amd64)"
"515","Windows Server 2008 R2 (x86)"
"547","Windows Server 2012 (amd64)"
"163","Windows Server 2012 (x86)"
"8139","Windows Server 2012 R2 (amd64)"
"1439","Windows Server 2012 R2 (x86)"
"31390","Windows Server 2016 (amd64)"
"2954","Windows Server 2016 (x86)"
"4","Windows Server 2016 Standard (amd64)"
"33539","Windows Server 2019 (amd64)"
"1417","Windows Server 2019 (x86)"
"13531","Windows Server 2022 (amd64)"
"166","Windows Server 2022 (x86)"
"16","Windows Server version 2009 (amd64)"
"41","Windows Vista (x86)"
"1","Windows XP (amd64)"
"86","Windows XP (x86)"
"217","z/OS (s390x)"
