"DragonFlyBSD (amd64)","1"
"HP-UX (PA_RISC2.0W)","1"
"Linux (s390)","1"
"Linux (zArch_64)","1"
"NetBSD (i386)","1"
"OpenBSD (aarch64)","1"
"QNX (aarch64)","1"
"QNX (amd64)","1"
"Windows XP (amd64)","1"
"HP-UX (ia64)","2"
"NetBSD (amd64)","2"
"Windows 10 (aarch64)","2"
"NONSTOP_KERNEL (amd64)","3"
"NONSTOP_KERNEL (IA64N)","4"
"NONSTOP_KERNEL (x86_64N)","4"
"Windows Server 2016 Standard (amd64)","4"
"OS/400 (ppc)","5"
"Linux (e2k)","6"
"HP-UX (PA_RISC2.0)","9"
"OS400 (ppc64)","9"
"FreeBSD (i386)","11"
"Linux (ppc)","11"
"Windows 2003 (amd64)","11"
"FreeBSD (aarch64)","13"
"HP-UX (IA64W)","18"
"Linux (x86)","23"
"Windows 11 (aarch64)","23"
"OpenBSD (amd64)","24"
"AIX (ppc)","34"
"Windows 8 (x86)","35"
"Linux (sw64)","36"
"Windows Vista (x86)","42"
"Linux (mips64el)","43"
"Linux (ppc64)","43"
"Linux (riscv64)","44"
"Windows 8 (amd64)","44"
"SunOS (sparc)","46"
"SunOS (x86)","48"
"Windows Server version 2009 (amd64)","49"
"Windows Server 2008 (x86)","63"
"Windows Server 2008 (amd64)","64"
"Windows 2003 (x86)","70"
"OS/400 (ppc64)","87"
"Windows XP (x86)","87"
"Linux (loongarch64)","115"
"Windows Server 2012 (x86)","160"
"HP-UX (IA64N)","175"
"Windows Server 2022 (x86)","190"
"z/OS (s390x)","196"
"Windows 8.1 (x86)","198"
"Linux (s390x)","296"
"SunOS (amd64)","305"
"Windows 8.1 (amd64)","324"
"Windows 11 (x86)","387"
"Windows NT (unknown) (x86)","454"
"Windows Server 2008 R2 (x86)","530"
"Linux (ppc64le)","567"
"FreeBSD (amd64)","585"
"SunOS (sparcv9)","690"
"Windows Server 2012 (amd64)","847"
"Windows NT (unknown) (amd64)","1191"
"Windows 7 (x86)","1241"
"Linux (arm)","1455"
"Windows Server 2019 (x86)","1467"
"AIX (ppc64)","1558"
"Windows Server 2012 R2 (x86)","1623"
"Windows Server 2008 R2 (amd64)","1921"
"Windows 7 (amd64)","2689"
"Linux (i386)","2997"
"Windows Server 2016 (x86)","3184"
"Windows 10 (x86)","5069"
"Windows Server 2012 R2 (amd64)","8453"
"Windows Server 2022 (amd64)","12564"
"Mac OS X (aarch64)","12818"
"Linux (aarch64)","13263"
"Windows 11 (amd64)","14110"
"Mac OS X (x86_64)","17801"
"Windows Server 2016 (amd64)","31931"
"Windows Server 2019 (amd64)","33752"
"Windows 10 (amd64)","68573"
"N/A","364861"
"Linux (amd64)","601014"
