"1.408","277356"
"1.409.1","277355"
"1.409.3","277354"
"1.410","277353"
"1.411","277352"
"1.413","277351"
"1.424","277350"
"1.424.6","277349"
"1.428","277347"
"1.429","277345"
"1.430","277344"
"1.431","277343"
"1.432","277342"
"1.433","277341"
"1.436","277340"
"1.437","277339"
"1.438","277337"
"1.439","277336"
"1.440","277335"
"1.441","277333"
"1.442","277332"
"1.443","277331"
"1.446","277330"
"1.447","277329"
"1.447.1","277328"
"1.447.2","277326"
"1.450","277324"
"1.451","277318"
"1.454","277317"
"1.455","277313"
"1.456","277312"
"1.457","277311"
"1.458","277310"
"1.460","277309"
"1.461","277306"
"1.464","277304"
"1.465","277303"
"1.466","277301"
"1.466.2","277300"
"1.467","277297"
"1.471","277295"
"1.472","277294"
"1.474","277290"
"1.475","277287"
"1.476","277281"
"1.477","277280"
"1.478","277279"
"1.480.3","277278"
"1.482","277273"
"1.483","277272"
"1.484","277271"
"1.485","277269"
"1.487","277268"
"1.488","277267"
"1.489","277265"
"1.491","277263"
"1.494","277262"
"1.496","277259"
"1.498","277258"
"1.499","277256"
"1.500","277253"
"1.501","277250"
"1.502","277249"
"1.503","277248"
"1.504","277247"
"1.505","277246"
"1.509","277240"
"1.509.3","277237"
"1.509.4","277236"
"1.510","277233"
"1.511","277227"
"1.512","277224"
"1.514","277214"
"1.515","277211"
"1.516","277209"
"1.517","277208"
"1.521","277204"
"1.523","277201"
"1.524","277199"
"1.525","277198"
"1.526","277197"
"1.527","277196"
"1.528","277193"
"1.529","277191"
"1.530","277186"
"1.531","277184"
"1.532.1","277179"
"1.532.2","277171"
"1.532.3","277161"
"1.533","277159"
"1.534","277158"
"1.535","277154"
"1.536","277151"
"1.537","277149"
"1.538","277148"
"1.539","277143"
"1.541","277135"
"1.542","277132"
"1.543","277128"
"1.544","277126"
"1.546","277123"
"1.547","277121"
"1.548","277119"
"1.549","277116"
"1.550","277109"
"1.551","277107"
"1.552","277102"
"1.553","277098"
"1.554","277092"
"1.554.1","277091"
"1.554.2","277089"
